"","SoortMisdrijf","SoortMisdrijf_label","WijkenEnBuurten","WijkenEnBuurten_label","Perioden","Perioden_Date","Perioden_freq","Perioden_label","GeregistreerdeMisdrijven_1","Gemeentenaam_2","SoortRegio_3"
"1824","0.0.0 ","Totaal misdrijven","BU04891634","Havenkwartier","2023JJ00",2023-01-01,"Y","2023",80,"Barendrecht                   ","Buurt   "
"1825","0.0.0 ","Totaal misdrijven","BU04891735","Gaatkensoog","2023JJ00",2023-01-01,"Y","2023",12,"Barendrecht                   ","Buurt   "
"1826","0.0.0 ","Totaal misdrijven","BU04891836","Riederhoek","2023JJ00",2023-01-01,"Y","2023",18,"Barendrecht                   ","Buurt   "
"1827","0.0.0 ","Totaal misdrijven","BU04891937","Vrijheidsakker","2023JJ00",2023-01-01,"Y","2023",27,"Barendrecht                   ","Buurt   "
"1828","0.0.0 ","Totaal misdrijven","BU04892039","Vrijenburg","2023JJ00",2023-01-01,"Y","2023",130,"Barendrecht                   ","Buurt   "
"1829","0.0.0 ","Totaal misdrijven","BU04893050","Sportpark Smitshoek","2023JJ00",2023-01-01,"Y","2023",5,"Barendrecht                   ","Buurt   "
"1830","0.0.0 ","Totaal misdrijven","BU04893051","Sint Clarabos","2023JJ00",2023-01-01,"Y","2023",14,"Barendrecht                   ","Buurt   "
"1831","0.0.0 ","Totaal misdrijven","BU04893052","Vrijenburgbos","2023JJ00",2023-01-01,"Y","2023",8,"Barendrecht                   ","Buurt   "
"1832","0.0.0 ","Totaal misdrijven","BU04893053","Kooiwalbos","2023JJ00",2023-01-01,"Y","2023",8,"Barendrecht                   ","Buurt   "
"1833","0.0.0 ","Totaal misdrijven","BU04893054","Dordtsestraatweg","2023JJ00",2023-01-01,"Y","2023",15,"Barendrecht                   ","Buurt   "
"1834","0.0.0 ","Totaal misdrijven","BU04893160","Koedood","2023JJ00",2023-01-01,"Y","2023",27,"Barendrecht                   ","Buurt   "
"1835","0.0.0 ","Totaal misdrijven","BU04893161","Achterzeedijk West","2023JJ00",2023-01-01,"Y","2023",28,"Barendrecht                   ","Buurt   "
